Record ID number,Order,Family,Species,Selection history,Plant growth form,Duration,Study code,Country,Location,Latitude,Longitude,Coordinates notes,KG climate simple,KG climate full,Habitat description,Population information,Population origin,Year,Season,Month,Standing or marked leaves,Leaf age,Area measurement method,Sampling details,Length of marking (days),Data source,Annual herbivory rate (%),Annual error estimate,Annual error value,Number of replicates,Daily herbivory rate (%),Daily error estimate,Daily error value,Consumers
476,Ericales,Ericaceae,Kalmia latifolia,Wild,Shrub,Perennial,mCQ,USA,SW Virginia," 36d 4'17.21""N"," 78d54'36.65""W",From author,Temperate,Temperate without dry season and hot summer,Forest; river edge,2,Natural,2009,Fall,September,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),3.07,SD,2.359401996,10,NA,NA,NA,NA
477,Ericales,Ericaceae,Kalmia latifolia,Wild,Shrub,Perennial,mCQ,USA,SW Virginia,37d23'27.31N,"80d30'29.72""W",From author,Temperate,Temperate without dry season and hot summer,Montane forest,3,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),0.855555556,SD,0.963980943,3,NA,NA,NA,NA
478,Ericales,Ericaceae,Kalmia latifolia,Wild,Shrub,Perennial,mCQ,USA,North Carolina,"37d21'00.99""N","80d32'14.40""W",From author,Temperate,Temperate without dry season and hot summer,Montane rocky outcrop,4,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),1.5,SD,0.707106781,2,NA,NA,NA,NA
658,Fabales,Fabaceae,Lespedeza capitata,Wild,Forb/herb,Perennial,cCD,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.2''N,93d12'6.4''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Grassland,Control treatment (ambient N),Natural,2004,NA,Unspecific,Standing,NA,Visual,"10 random leaves per plant, 50 plants per plot",NA,P.230 Figure 1,5.886,NA,NA,700,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
659,Fabales,Fabaceae,Lespedeza capitata,Wild,Forb/herb,Perennial,cCD,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.2''N,93d12'6.4''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Grassland,Control treatment (ambient N),Natural,2005,NA,Unspecific,Standing,NA,Visual,"10 random leaves per plant, 50 plants per plot",NA,P.230 Figure 1,11.697,NA,NA,700,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
660,Fabales,Fabaceae,Lespedeza capitata,Wild,Forb/herb,Perennial,cCD,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.2''N,93d12'6.4''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Grassland,Control treatment (ambient CO2),Natural,2004,NA,Unspecific,Standing,NA,Visual,"10 random leaves per plant, 50 plants per plot",NA,P.230 Figure 1,6.612,NA,NA,700,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
661,Fabales,Fabaceae,Lespedeza capitata,Wild,Forb/herb,Perennial,cCD,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.2''N,93d12'6.4''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Grassland,Control treatment (ambient CO2),Natural,2005,NA,Unspecific,Standing,NA,Visual,"10 random leaves per plant, 50 plants per plot",NA,P.230 Figure 1,11.464,NA,NA,700,NA,NA,NA,"Coleoptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbar_overal,Herb_JulAugSept,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galium,2.935106225,0.8,1.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viola,8.15,0.66,1.75,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitis,5.045,0.72,1.5,,,
,,,,,,,,,,,,,,,,,,,,0.75,,1.18,,,,,,Kalmia ,1.808518519,0.88,1.14,,,
,,,,,,,,,,,,,,,,,,,,0.564,,1.95,,,,,,Lespedeza,8.91475,1.565,1.325,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1.17,,1.03,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.33,,1.62,,,,,,,,,,,,
