Record ID number,Order,Family,Species,Selection history,Plant growth form,Duration,Study code,Country,Location,Latitude,Longitude,Coordinates notes,KG climate simple,KG climate full,Habitat description,Population information,Population origin,Year,Season,Month,Standing or marked leaves,Leaf age,Area measurement method,Sampling details,Length of marking (days),Data source,Annual herbivory rate (%),Annual error estimate,Annual error value,Number of replicates,Daily herbivory rate (%),Daily error estimate,Daily error value,Consumers
1372,Malpighiales,Phyllanthaceae,Hyeronima laxiflora,Wild,Tree,Perennial,cAE,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Semidecidusous forest,NA,Natural,1979,"Dry, wet","February, March, May,June, July, October, November",Marked,Mature,Grid,"~10 plants per spcies, marked 7 young and 7 old leaves, measured herbivory after 3 weeks. Repeated in dry, early wet, and late wet season, rates are means that assume 8 months of wet seaons and 4 months of dry",21,Obtained from author,NA,NA,NA,~10,0.158,NA,NA,Insecta (general)
617,Fabales,Fabaceae,Hymenaea courbaril,Wild,Tree,Perennial,mCU,Panama,"Gunn Hill, Ciudad de Saver and Smithsonian Tropical Research Institute, Parque Nacional San Lorenzo",multiple sites: 9d00'14''N (Gunn Hill) & 9d21'41''N (Parque Nacional San Lorenzo),multiple sites: 79d34'50''W (Gunn Hill) & 79d57'11''W (Parque Nacional San Lorenzo),From Google Earth,Tropical,Tropical monsoon & savannah,Deciduous forest,NA,Planted,2006,Dry,November,Standing,Mature,Grid,3-4 apical leaves sampled,NA,Appendix 8 (multiplied values by 100; only control treatments; using total leaf damage since it includes types of leaf consumption other than chewing),13.4,SD,11.1,5,NA,NA,NA,Insecta (general)
618,Fabales,Fabaceae,Hymenaea courbaril,Wild,Tree,Perennial,mCU,Panama,"Gunn Hill, Ciudad de Saver and Smithsonian Tropical Research Institute, Parque Nacional San Lorenzo",multiple sites: 9d00'14''N (Gunn Hill) & 9d21'41''N (Parque Nacional San Lorenzo),multiple sites: 79d34'50''W (Gunn Hill) & 79d57'11''W (Parque Nacional San Lorenzo),From Google Earth,Tropical,Tropical monsoon & savannah,Evergreen forest,NA,Planted,2006,Dry,November,Standing,Mature,Grid,3-4 apical leaves sampled,NA,Appendix 8 (multiplied values by 100; only control treatments; using total leaf damage since it includes types of leaf consumption other than chewing),17.3,SD,16,5,NA,NA,NA,Insecta (general)
1352,Malpighiales,Hypericaceae,Hypericum perforatum,Wild,Forb/herb,Perennial,mCQ,USA,North Carolina," 35d52'38.94""N"," 78d50'28.22""W",From author,Temperate,Temperate without dry season and hot summer,Successional field,1,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),0.01,SD,0.031622777,10,NA,NA,NA,NA
1353,Malpighiales,Hypericaceae,Hypericum perforatum,Wild,Forb/herb,Perennial,mCQ,USA,SW Virginia," 36d 8'35.45""N"," 79d26'0.10""W",From author,Temperate,Temperate without dry season and hot summer,Field,2,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),3.5,SD,4.949747468,2,NA,NA,NA,NA
1354,Malpighiales,Hypericaceae,Hypericum perforatum,Wild,Forb/herb,Perennial,mCQ,USA,North Carolina," 35d28'46.03""N"," 78d55'46.75""W",From author,Temperate,Temperate without dry season and hot summer,River bank,3,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),5.25,SD,7.424621202,2,NA,NA,NA,NA
1355,Malpighiales,Hypericaceae,Hypericum perforatum,Wild,Forb/herb,Perennial,mCQ,USA,SW Virginia," 36d 9'30.79""N","81d19'8.84""W",From author,Temperate,Temperate without dry season and hot summer,Field,4,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),1.2125,SD,2.284380191,8,NA,NA,NA,NA
1356,Malpighiales,Hypericaceae,Hypericum perforatum,Wild,Forb/herb,Perennial,mCQ,USA,SW Virginia," 37d22'29.71""N"," 80d31'18.37""W",From author,Temperate,Temperate without dry season and hot summer,Montane field,5,Natural,2009,Summer,July,Standing,Mature,Visual,Up to 10 leaves sampled prior to senescence for up to 10 plants per population,NA,Raw data (using plant mean values),4.1,SD,3.090307428,5,NA,NA,NA,NA
154,Asterales,Asteraceae,Hypochaeris radicata,Wild,Forb/herb,Perennial,mAW,USA,Hawaii,NA,NA,Unavailable,Tropical,Tropical rainforest & Tropical savannah,Unspecific,NA,Natural,2005,Dry,August,Standing,Mature,Visual,1 recently matured leaf sampled in August and February on each plant (5 plants per species),NA,Appendix 1,0,NA,NA,5,NA,NA,NA,"Insecta (general), pathogens"
155,Asterales,Asteraceae,Hypochaeris radicata,Wild,Forb/herb,Perennial,mAW,USA,Hawaii,NA,NA,Unavailable,Tropical,Tropical rainforest & Tropical savannah,Unspecific,NA,Natural,2005,Wet,February,Standing,Mature,Visual,1 recently matured leaf sampled in August and February on each plant (5 plants per species),NA,Appendix 1,0.62,NA,NA,5,NA,NA,NA,"Insecta (general), pathogens"
