Record ID number,Order,Family,Species,Selection history,Plant growth form,Duration,Study code,Country,Location,Latitude,Longitude,Coordinates notes,KG climate simple,KG climate full,Habitat description,Population information,Population origin,Year,Season,Month,Standing or marked leaves,Leaf age,Area measurement method,Sampling details,Length of marking (days),Data source,Annual herbivory rate (%),Annual error estimate,Annual error value,Number of replicates,Daily herbivory rate (%),Daily error estimate,Daily error value,Consumers
1912,Pinales,Pinaceae,Abies balsamea,Wild,Tree,Perennial,mDT,Canada,Flower Pot Island,"45d26'39""N","81d36'17""W",From Google Earth,Cold,Cold without dry season and warm summer,NA,NA,Natural,2012,"Summer, Fall","August, September",Standing,Mature,Visual,Up to 10 random leaves sampled per plant (3-4 individuals per site); some gymnosperms were an exception to this for which 50 needles (5 sets of 10 consecutive needles) were sampled per branch,NA,Species level data provided by author,3.4,SE,1.2,3,NA,NA,NA,NA
1913,Pinales,Pinaceae,Abies grandis,Wild,Tree,Perennial,cEH,USA,"Wind River Canopy Crane Research Facility, Washington State",47d45'3.8664''N,120d44'24.5004''W,From http://www.latlong.net/,Cold,Cold dry summer and warm summer,Montane forest,NA,Natural,NA,NA,Unspecific,Standing,NA,Visual,"Subplot frame randomly placed on section of canopy, herbivory measured on every 10th leaf selected (1 leaf per sample frame)",NA,P.478 Table 1,0.1,SE,0.01,5,NA,NA,NA,Insecta (general)
1914,Pinales,Pinaceae,Abies grandis,Wild,Tree,Perennial,mDK,USA,"Washington, Gifford Pinchot National Forest ",46d9'49.1868''N,121d33'56.8116''W,From http://www.latlong.net/,Cold,Cold dry summer and warm summer,Coniferous forest,NA,Natural,1995,Summer,August,Standing,Mature,Visual,Branches sampled at different canopy levels,NA,"P.636 Table 2; only taking August measurements, mean of all canopy levels",0.33,SE,0,5,NA,NA,NA,"Hemiptera (Insecta), Lepidoptera (Insecta)"
2099,Ranunculales,Menispermaceae,Abuta panamensis,Wild,Liana,Perennial,cAU,Mexico,"Los Tuxtlas Research Station, Veracruz",18d36'N,95d07'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,1984,Dry,March,Standing,Mature,Automatic,2 of the most mature leaves sampled per seedling during different seasons; 50 leaves per species,NA,P.104 Table 2,13,CV,125.5,25,NA,NA,NA,"Coleoptera (Insecta), Hemiptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
558,Fabales,Fabaceae,Acacia falcata,Wild,Shrub,Perennial,mBB,Australia,New South Wales and Queensland,multiple sites: 35d40'S(Batemans Bay) & 33d36'S(Sydney) & 29d46'S(Grafton) & 26d7'S(Gympie),multiple sites: 150d15'E(Batemans Bay) & 151d17'E(Sydney) & 153d15'E(Grafton) & 153d04'E(Gympie),Coordinates from the article (got longitude from Google Earth),Temperate,Temperate without dry season hot & Temperate warm summer,Eucalyptus forest,NA,Natural,"2000, 2001",All seasons,All year,Marked,Lifespan,Visual,Expanded and mature leaves sampled every 3 months for 2 years,NA,P.178 (calculated 1 year values: expanding leaf rate (over 3 months) + 3 * mature leaf rate (3 months each)),15.89,NA,NA,12,NA,NA,NA,Insecta (general)
559,Fabales,Fabaceae,Acacia floribunda ,Wild,Shrub,Perennial,mBS,Australia,"Ku-ring-gai Chase National Park, Sydney","33d33'53""S","151d17'35""E",Coordinates from the article,Temperate,Temperate without dry season and hot summer,Volcanic soil,NA,Natural,1999,Summer,January,Marked,Lifespan,Automatic,All species with 4 or more individuals and at least 25 expanding leaves by September 1998 were measured in January 1999,NA,P.523 Appendix 1 (used LLA total; includes fully consumed leaves),55.47,NA,NA,4 or more,NA,NA,NA,Insecta (general)
560,Fabales,Fabaceae,Acacia gaumeri,Wild,Tree,Perennial,cBG,Mexico,Dzibil- chaltu _n National Park,21d06_N,89d17_W,Coordinates from the article,Arid,Arid steppe hot,Forest,Control treatment (no fertilizer added),Natural,2000,Wet,September,Standing,Mature,Visual,20 leaves randomly sampled from each of 4 individuals,NA,P.528 Figure 1,2.449,SE,0.622,4,NA,NA,NA,NA
561,Fabales,Fabaceae,Acacia terminalis,Wild,Shrub,Perennial,mBS,Australia,"Ku-ring-gai Chase National Park, Sydney","33d39'50""S","151d14'45""E",Coordinates from the article,Temperate,Temperate without dry season and hot summer,Terrace,NA,Natural,1999,Summer,January,Marked,Lifespan,Automatic,All species with 4 or more individuals and at least 25 expanding leaves by September 1998 were measured in January 1999,NA,P.523 Appendix 1 (used LLA total; includes fully consumed leaves),29.06,NA,NA,4 or more,NA,NA,NA,Insecta (general)
1270,Malpighiales,Euphorbiaceae,Acalypha diversifolia,Wild,Shrub,Perennial,mBG,Panama,Barro Colorado Island,9d09'N,79d51'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,1987,All seasons,All year,Marked,Expanding,Grid,"Marked up to 10 expanding leaves, checked herbivory after 1 month, repeats for 17 months",30,"Table 1, divided mean annual monthly rate by 30",NA,NA,NA,20,0.553333333,CV,0.32,Insecta (general)
1271,Malpighiales,Euphorbiaceae,Acalypha diversifolia,Wild,Shrub,Perennial,mDE,Panama,Barro Colorado Island,9.08dN,79.50dW,Coordinates from the article,Tropical,Tropical monsoon ,Forest,Forest canopy gap,Natural,2003,Wet,"May, June, July, August, September, October",Marked,Mature,Automatic,3-5 mature leaves marked on 15 saplings per species,115.8333333,Species level daily rates were provided by author; annual damage were calculated by using the final measure of damage on mature leaves at the end of the wet seaon,11.6919259,SD,12.575052,9,0.074546961,se,0.147324122,"Hemiptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
1272,Malpighiales,Euphorbiaceae,Acalypha macrostachya,Wild,Shrub,Perennial,cAF,Costa Rica,Florencia Norte Forest,9d53'N, 83d40'W,"From Slash and Burn Impacts on a Costa Rican Wet Forest Site; Author(s): John Ewel, Cory Berish, Becky Brown, Norman Price and James Raich; Source: Ecology, Vol. 62, No. 3 (Jun., 1981), pp. 816-829",Tropical,Tropical monsoon ,Premontane forest,Succession,Planted,"1979, 1980, 1983","Dry, wet","September, January, June, February",Marked,NA,Grid,"Marked multiple leaves on a branch of the dominant species, measured after 3-7 weeks,  measure plots afer 6,10,15, and 47 months",21 to 49,"P.113 Table 3,  changed from cm^2/m^2 to %",NA,NA,NA,5,0.015,se,0.006,Insecta (general)
1273,Malpighiales,Euphorbiaceae,Acalypha macrostachya,Wild,Shrub,Perennial,cAF,Costa Rica,Florencia Norte Forest,9d53'N, 83d40'W,"From Slash and Burn Impacts on a Costa Rican Wet Forest Site; Author(s): John Ewel, Cory Berish, Becky Brown, Norman Price and James Raich; Source: Ecology, Vol. 62, No. 3 (Jun., 1981), pp. 816-830",Tropical,Tropical monsoon ,Premontane forest,Enriched,Planted,"1979, 1980, 1983","Dry, wet","September, January, June, February",Marked,NA,Grid,"Marked multiple leaves on a branch of the dominant species, measured after 3-7 weeks,  measure plots afer 6,10,15, and 47 months",21 to 49,"P.113 Table 3,  changed from cm^2/m^2 to %",NA,NA,NA,5,0.039,se,0.011,Insecta (general)
1274,Malpighiales,Euphorbiaceae,Acalypha skutchii,Wild,Shrub,Perennial,cAU,Mexico,"Los Tuxtlas Research Station, Veracruz",18d36'N,95d07'W,Coordinates from the article,Tropical,Tropical monsoon ,Forest,NA,Natural,1983,Wet,October,Standing,Mature,Automatic,2 of the most mature leaves sampled per seedling during different seasons; 50 leaves per species,NA,P.104 Table 2,24,CV,64.8,25,NA,NA,NA,"Coleoptera (Insecta), Hemiptera (Insecta), Lepidoptera (Insecta), Orthoptera (Insecta)"
1014,Lamiales,Acanthaceae,Acanthus ilicifolius,Wild,Shrub,Perennial,cAQ,Australia,"North Queensland, Chundra Bay",19d17'S,147d03'E,Coordinates from the article,Tropical,Tropical savannah ,Forest,Forest understory,Natural,1984,NA,"October, November",Standing,NA,Visual,174 leaves sampled,NA,P.4 Table 1,9,SE,1.3,3,NA,NA,NA,Insecta (general)
1015,Lamiales,Acanthaceae,Acanthus ilicifolius,Wild,Shrub,Perennial,cAQ,Australia,"North Queensland, Tully Heads",18d01'S,146d02'E,Coordinates from the article,Tropical,Tropical monsoon ,Forest,Forest understory,Natural,1984,NA,"October, November",Standing,NA,Visual,41 leaves sampled,NA,P.4 Table 1,6.8,SE,2.5,1,NA,NA,NA,Insecta (general)
2444,Sapindales,Sapindaceae,Acer glabrum,Wild,"Tree, shrub",Perennial,mBW,USA,Rocky Mountain Biological Lab,38d57_29__N,106d59_06__W,Coordinates from the article,Cold,Cold without dry season and cold summer,Meadow-woodland,NA,Natural,2009,Fall,August,Standing,Mature,Visual,>8 leaves sampled per plant,NA,Appendix (multiplied by 100),5,NA,NA,8,NA,NA,NA,NA
2445,Sapindales,Sapindaceae,Acer negundo ,Wild,Tree,Perennial,mCE,USA,"Oak Ridge National Environmental Research Park, Oak Ridge, Tennessee",35d54'N,84d20'W,Coordinates from the article,Temperate,Temperate without dry season and hot summer,Monoculture forest,NA,Natural,2011,Summer,August,Standing,Mature,Visual,8 fully expanded leaves sampled from 5 individuals per species per subplot (4 subplots),NA,P.1612 Table 3 (only used August and ambient condition values),41,SE,5,20,NA,NA,NA,Insecta (general)
2446,Sapindales,Sapindaceae,Acer oblongum,Wild,Tree,Perennial,cDZ,Tanzania,"Amani Botanical Garden, East Usambara Mountains",5d05'30''S,38d38'10''E,Coordinates from the article,Tropical,Tropical rainforest ,Forest,Submontane,Natural,2007,Dry (start),June,Standing,Mature,Grid,4 expanded leaves closest to apical meristem sampled in nonbranching species; 4 leaves closest to tip sampled in branching species,NA,P.143 Table 1,4.52,SE,2.09,12,NA,NA,NA,NA
2447,Sapindales,Sapindaceae,Acer pensylvanicum ,Wild,Tree,Perennial,mBO,USA,"Mountain Lake Biological Station, Giles County, Virginia",37d22'30.5''N,80d31'21.9''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Deciduous forest,NA,Natural,1986,Fall,August,Marked,Lifespan,Grid,75-90 leaves tracked over the Summer/Fall for each tree,NA,P.53,3.27,SD,1.67,18,NA,NA,NA,Insecta (general)
2448,Sapindales,Sapindaceae,Acer platanoides,Wild,Tree,Perennial,mAD,Various (Europe),Various (Europe),multiple sites: 42d - 61dN,multiple sites: 2d - 28dE,From Google Earth,Various,Various,Forest,NA,Natural,2004,Fall,Unspecific,Standing,Mature,Visual,100 leaves from >12 individuals per population (20 populations total),NA,P.1009 Table 1,5.9,SD,9.12,20,NA,NA,NA,NA
2449,Sapindales,Sapindaceae,Acer platanoides,Wild,Tree,Perennial,mAD,Various (Europe),Various (Europe),multiple sites: 42d - 61dN,multiple sites: 2d - 28dE,From Google Earth,Various,Various,Forest,NA,Natural,2005,Fall,Unspecific,Standing,Mature,Visual,100 leaves from >12 individuals per population (33 populations total),NA,P.1009 Table 1,7.2,SD,11.03,33,NA,NA,NA,NA
2450,Sapindales,Sapindaceae,Acer platanoides,Wild,Tree,Perennial,mAD,USA,Various (USA),multiple sites: 39d - 44dN,multiple sites: 65d - 121dW,From Google Earth,Various,Various,Forest,NA,Natural,2004,Fall,Unspecific,Standing,Mature,Visual,100 leaves from >12 individuals per population (13 populations total),NA,P.1009 Table 1,1.9,SD,1.33,13,NA,NA,NA,NA
2451,Sapindales,Sapindaceae,Acer platanoides,Wild,Tree,Perennial,mAD,USA,Various (USA),multiple sites: 39d - 44dN,multiple sites: 65d - 121dW,From Google Earth,Various,Various,Forest,NA,Natural,2005,Fall,Unspecific,Standing,Mature,Visual,100 leaves from >12 individuals per population (15 populations total),NA,P.1009 Table 1,1.5,SD,1.5,15,NA,NA,NA,NA
2452,Sapindales,Sapindaceae,Acer platanoides,Wild,Tree,Perennial,mBW,USA,"North Woods, Saratoga County, New York, Eastern forest",43d1'N,73d5'W,Coordinates from the article,Cold,Cold without dry season and warm summer,Deciduous forest,NA,Natural,"2006, 2007, 2009",Fall,"August, September, October",Standing,Mature,Visual,>8 leaves sampled per plant,NA,Appendix (multiplied by 100),2.5,NA,NA,12,NA,NA,NA,NA
2453,Sapindales,Sapindaceae,Acer platanoides,Wild,Tree,Perennial,mCL,Germany,"Hainich National Park, Thuringia",51d1'N,10d5'E,Coordinates from the article,Cold,Cold without dry season and warm summer,Deciduous forest,NA,Natural,2005,Fall,August,Standing,Mature,Visual,40 plants sampled per species per plot (9 plots),NA,P.283,3.6,NA,NA,360,NA,NA,NA,"Diptera (Insecta), Lepidoptera (Insecta)"
2454,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,cAH,England,"Cringlebarrow Wood, North Lancashire","54d10'44.75""N","2d47'18.37""W",Took average between Cringlebarrow Wood and Thang Wood (sites within 2km),Temperate,Temperate without dry season and warm summer,Forest,Ant foraged (of aphids),Natural,1973,Fall,August,Standing,Mature,Visual,Branches removed from 4 trees,NA,P.320,1.2,NA,NA,4,NA,NA,NA,Lepidoptera (Insecta)
2455,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,cAH,England,"Cringlebarrow Wood, North Lancashire","54d10'44.75""N","2d47'18.37""W",Took average between Cringlebarrow Wood and Thang Wood (sites within 2km),Temperate,Temperate without dry season and warm summer,Forest,Ant unforaged (of aphids),Natural,1973,Fall,August,Standing,Mature,Visual,Branches removed from 4 trees,NA,P.320,8.5,NA,NA,4,NA,NA,NA,Lepidoptera (Insecta)
2456,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,cAI,England,"Cringlebarrow Wood, North Lancashire",54d09_54.6423_N,2d46_16.0568_W,Used National Grid Reference,Temperate,Temperate without dry season and warm summer,Forest,Lower canopy; ant foraged (natural condition),Natural,1982,Fall,Unspecific,Standing,Mature,NA,Weekly samples throughout caterpillar season; 90 shoots from 14 trees,NA,P.801 Table 2,1.5,NA,NA,14,NA,NA,NA,Lepidoptera (Insecta)
2457,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,cAI,England,"Cringlebarrow Wood, North Lancashire",54d09_54.6423_N,2d46_16.0568_W,Used National Grid Reference,Temperate,Temperate without dry season and warm summer,Forest,Mid canopy; ant foraged (natural condition),Natural,1982,Fall,Unspecific,Standing,Mature,NA,Weekly samples throughout caterpillar season; 90 shoots from 14 trees,NA,P.801 Table 2,1.8,NA,NA,14,NA,NA,NA,Lepidoptera (Insecta)
2458,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,cAI,England,"Cringlebarrow Wood, North Lancashire",54d09_54.6423_N,2d46_16.0568_W,Used National Grid Reference,Temperate,Temperate without dry season and warm summer,Forest,High canopy; ant foraged (natural condition),Natural,1982,Fall,Unspecific,Standing,Mature,NA,Weekly samples throughout caterpillar season; 30 shoots from 14 trees,NA,P.801 Table 2,0.8,NA,NA,14,NA,NA,NA,Lepidoptera (Insecta)
2459,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,mAV,Canada,"St. John's, Newfoundland and Labrador",47d33'N,52d40'E,Coordinates from the article,Arid,Arid steppe cold,Deciduous forest,NA,Natural,2005,NA,Unspecific,Standing,Mature,Visual,Sampled different heights post-pupa emergence,NA,P.2729 Figure 1 (y values for 1 graph),44.3,SE,5,20,NA,NA,NA,Lepidoptera (Insecta)
2460,Sapindales,Sapindaceae,Acer pseudoplatanus,Wild,Tree,Perennial,mCL,Germany,"Hainich National Park, Thuringia",51d1'N,10d5'E,Coordinates from the article,Cold,Cold without dry season and warm summer,Deciduous forest,NA,Natural,2005,Fall,August,Standing,Mature,Visual,40 plants sampled per species per plot (9 plots),NA,P.283,7.6,NA,NA,360,NA,NA,NA,"Diptera (Insecta), Lepidoptera (Insecta)"
2461,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,cBR,USA,"Duke Forest FACE, Chapel Hill, NC",35d58_N,79d05_W,Coordinates from the article,Temperate,Temperate without dry season and hot summer,Forest,Control treatment (ambient/unmodified CO2 levels),Natural,1999,Summer,"June, July, September",Standing,NA,Automatic,Leaves randomly sampled from 3 individuals,NA,P.569 Figure 1,10.351,CI,4.753-22.201,3,NA,NA,NA,Insecta (general)
2462,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,cBR,USA,"Duke Forest FACE, Chapel Hill, NC",35d58_N,79d05_W,Coordinates from the article,Temperate,Temperate without dry season and hot summer,Forest,Control treatment (ambient/unmodified CO2 levels),Natural,2000,Summer,July,Standing,NA,Automatic,Leaves randomly sampled from 4 individuals,NA,P.569 Figure 1,8.275,CI,4.434-15.597,4,NA,NA,NA,Insecta (general)
2463,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,cDN,USA,"FACTS-1 Research Site, Piedmont, North Carolina",35d97_N,79d09_W,Coordinates from the article,Temperate,Temperate without dry season and hot summer,Forest,Control treatment (ambient CO2),Natural,2003,Fall,August,Standing,Mature,Automatic,2 leaves randomly sampled from 20 trees per year,NA,P.210 Figure 1c (extracted from graph; Figure 1c only since other measurements were made too early in the season),6.623,SE,3.213,20,NA,NA,NA,Insecta (general)
2464,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,cEJ,USA,"Coweeta Hydrological Laboratory, North Carolina",35d45'34.4628''N,79d1'9.4800''W,From http://www.latlong.net/,Temperate,Temperate without dry season and hot summer,Forest,Low site,Natural,1994,"Summer, fall","June, July, August, September",Standing,Mix,Automatic,All leaves from 7-10 branches collected each month,NA,P.1235 Table 1,9.6,SE,0.23,3,NA,NA,NA,Insecta (general)
2465,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,cEJ,USA,"Coweeta Hydrological Laboratory, North Carolina",35d45'34.4628''N,79d1'9.4800''W,From http://www.latlong.net/,Temperate,Temperate without dry season and hot summer,Forest,Middle site,Natural,1994,"Summer, fall","June, July, August, September",Standing,Mix,Automatic,All leaves from 7-10 branches collected each month,NA,P.1235 Table 1,3.39,SE,0.11,3,NA,NA,NA,Insecta (general)
2466,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,cEJ,USA,"Coweeta Hydrological Laboratory, North Carolina",35d45'34.4628''N,79d1'9.4800''W,From http://www.latlong.net/,Temperate,Temperate without dry season and hot summer,Forest,High site,Natural,1994,"Summer, fall","June, July, August, September",Standing,Mix,Automatic,All leaves from 7-10 branches collected each month,NA,P.1235 Table 1,2.33,SE,0.12,2,NA,NA,NA,Insecta (general)
2467,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mAE,USA,North,multiple sites: 27d - 45dN,multiple sites: 71d - 85dW,various sites see in Fig 1,Various,Various,Forest,NA,Natural,"2006, 2007",Summer,Unspecific,Standing,Mature,Automatic,"75 leaves sampled from a mix of 10 plants, approxmiately 30 populations? Very unclear. ",NA,"P.938 Figure 3 (extracted from Figure 3a-d, ignoring galls)",3.7,SE,3,~30,NA,NA,NA,Insecta (general)
2468,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mAE,USA,South,multiple sites: 27d - 45dN,multiple sites: 71d - 85dW,various sites see in Fig 1,Various,Various,Forest,NA,Natural,"2006, 2007",Summer,Unspecific,Standing,Mature,Automatic,"75 leaves sampled from a mix of 10 plants, approxmiately 30 populations? Very unclear. ",NA,"P.938 Figure 3 (extracted from Figure 3a-d, ignoring galls)",2.11,SE,1.3,~30,NA,NA,NA,Insecta (general)
2469,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mCR,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.1800''N,93d12'6.3792''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Fallow field,Control treatment (plants visited only at the end of the experiment),Natural,2001,Fall,August,Standing,Mature,Visual,All leaves sampled,NA,"Figure 1a (since no effect of visitation was apparent, all data was retained)",3.550350232,SE,0.321429008,7,NA,NA,NA,Insecta (general)
2470,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mCR,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.1800''N,93d12'6.3792''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Fallow field,Plants visited 1 time,Natural,2001,Fall,August,Standing,Mature,Visual,All leaves sampled,NA,"Figure 1a (since no effect of visitation was apparent, all data was retained)",3.425512993,SE,0.428604597,7,NA,NA,NA,Insecta (general)
2471,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mCR,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.1800''N,93d12'6.3792''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Fallow field,Plants visited 2 times,Natural,2001,Fall,August,Standing,Mature,Visual,All leaves sampled,NA,"Figure 1a (since no effect of visitation was apparent, all data was retained)",2.354392535,SE,0.375033095,7,NA,NA,NA,Insecta (general)
2472,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mCR,USA,"Cedar Creek Natural History Area, Minnesota",45d25'30.1800''N,93d12'6.3792''W,From http://www.latlong.net/,Cold,Cold without dry season and warm summer,Fallow field,Plants visited 4 times,Natural,2001,Fall,August,Standing,Mature,Visual,All leaves sampled,NA,"Figure 1a (since no effect of visitation was apparent, all data was retained)",4.176100561,SE,1.303589492,7,NA,NA,NA,Insecta (general)
2473,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mDA,USA,"Nantahala National Forest, Southern Appalachian Mountains, North Carolina",35d12'43.2360''N,83d25'17.9796''W,From http://www.latlong.net/,Temperate,Temperate without dry season and warm summer,Forest,Mature forest,Natural,1985,Fall,August,Standing,Mature,Automatic,"7 leaves sampled at 3 intervals (June 1985, August 1985, June 1986) from 5 trees per site (10 sites)",NA,P.64 Figure 6,11.30837461,SE,1.37151998,10,NA,NA,NA,Insecta (general)
2474,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mDA,USA,"Nantahala National Forest, Southern Appalachian Mountains, North Carolina",35d12'43.2360''N,83d25'17.9796''W,From http://www.latlong.net/,Temperate,Temperate without dry season and warm summer,Forest,0.016ha forest opening,Natural,1985,Fall,August,Standing,Mature,Automatic,"7 leaves sampled at 3 intervals (June 1985, August 1985, June 1986) from 5 trees per site (10 sites)",NA,P.64 Figure 6,5.523077081,SE,0.764922427,10,NA,NA,NA,Insecta (general)
2475,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mDA,USA,"Nantahala National Forest, Southern Appalachian Mountains, North Carolina",35d12'43.2360''N,83d25'17.9796''W,From http://www.latlong.net/,Temperate,Temperate without dry season and warm summer,Forest,0.08ha forest opening,Natural,1985,Fall,August,Standing,Mature,Automatic,"7 leaves sampled at 3 intervals (June 1985, August 1985, June 1986) from 5 trees per site (10 sites)",NA,P.64 Figure 6,3.113708842,SE,0.58030578,10,NA,NA,NA,Insecta (general)
2476,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mDA,USA,"Nantahala National Forest, Southern Appalachian Mountains, North Carolina",35d12'43.2360''N,83d25'17.9796''W,From http://www.latlong.net/,Temperate,Temperate without dry season and warm summer,Forest,0.4ha forest opening,Natural,1985,Fall,August,Standing,Mature,Automatic,"7 leaves sampled at 3 intervals (June 1985, August 1985, June 1986) from 5 trees per site (10 sites)",NA,P.64 Figure 6,3.36793101,SE,1.002368721,10,NA,NA,NA,Insecta (general)
2477,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mDA,USA,"Nantahala National Forest, Southern Appalachian Mountains, North Carolina",35d12'43.2360''N,83d25'17.9796''W,From http://www.latlong.net/,Temperate,Temperate without dry season and warm summer,Forest,2ha forest opening,Natural,1985,Fall,August,Standing,Mature,Automatic,"7 leaves sampled at 3 intervals (June 1985, August 1985, June 1986) from 5 trees per site (10 sites)",NA,P.64 Figure 6,2.646486398,SE,0.42206294,10,NA,NA,NA,Insecta (general)
2478,Sapindales,Sapindaceae,Acer rubrum,Wild,Tree,Perennial,mDA,USA,"Nantahala National Forest, Southern Appalachian Mountains, North Carolina",35d12'43.2360''N,83d25'17.9796''W,From http://www.latlong.net/,Temperate,Temperate without dry season and warm summer,Forest,10ha forest opening,Natural,1985,Fall,August,Standing,Mature,Automatic,"7 leaves sampled at 3 intervals (June 1985, August 1985, June 1986) from 5 trees per site (10 sites)",NA,P.64 Figure 6,1.740589206,SE,0.3956071,10,NA,NA,NA,Insecta (general)
2479,Sapindales,Sapindaceae,Acer saccharinum,Wild,Tree,Perennial,cED,USA,"University of Houston Coastal Center, Houston, Texas",29d45'36.6948''N,95d22'9.8040''W,From http://www.latlong.net/,Temperate,Temperate without dry season and hot summer,Plantation,NA,Planted,2004,Fall,September,Standing,Mature,Automatic,"2 trees per plot, 20 leaves selected cut from 6m height",NA,P.242 Figure 4 (herbivore types combined),1.493,SE,0.113,12,NA,NA,NA,"Arachnida, Diptera (Insecta), Homoptera (Insecta)"
2480,Sapindales,Sapindaceae,Acer saccharum,Wild,Tree,Perennial,cAA,Canada,Southern Ontario,43d39'N,80d26'W,"""In place of stand 2 of the original survey, an Acer saccharum- Fagus grandifolia mesic upland forest, similar in com- position to the original stand 2, was sampled. This forest (stand 2a of Table I) was immediately adjacent to stand 3 (43d 39' N, 80d 26' W)."" From Primary Consumption in Three Forest Canopies; Author: J.R. Bray; Source: Ecology, Vol. 45, No. 1 (Jan 1964), pp. 165-167",Cold,Cold without dry season and warm summer,Forest,Forest stands,Natural,1960,NA,Unspecific,Standing,NA,Grid,60 leaves sampled from forest stand (unknown # individuals),NA,P.166 Table 1,6.9,NA,NA,NA,NA,NA,NA,Insecta (general)
2481,Sapindales,Sapindaceae,Acer saccharum,Wild,Tree,Perennial,cAA,Canada,Southern Ontario,43d39'N,80d26'W,"""In place of stand 2 of the original survey, an Acer saccharum- Fagus grandifolia mesic upland forest, similar in com- position to the original stand 2, was sampled. This forest (stand 2a of Table I) was immediately adjacent to stand 3 (43d 39' N, 80d 26' W)."" From Primary Consumption in Three Forest Canopies; Author: J.R. Bray; Source: Ecology, Vol. 45, No. 1 (Jan 1964), pp. 165-167",Cold,Cold without dry season and warm summer,Forest,Forest stands,Natural,1961,NA,Unspecific,Standing,NA,Grid,27 leaves sampled from forest stand (unknown # individuals),NA,P.166 Table 1,5.3,NA,NA,NA,NA,NA,NA,Insecta (general)
2482,Sapindales,Sapindaceae,Acer saccharum,Wild,Tree,Perennial,cDN,USA,"FACTS-1 Research Site, Piedmont, North Carolina",35d97_N,79d09_W,Coordinates from the article,Temperate,Temperate without dry season and hot summer,Forest,Control treatment (ambient CO2),Natural,2003,Fall,August,Standing,Mature,Automatic,2 leaves randomly sampled from 20 trees per year,NA,P.210 Figure 1c (extracted from graph; Figure 1c only since other measurements were made too early in the season),2.426,SE,3.213,20,NA,NA,NA,Insecta (general)
2483,Sapindales,Sapindaceae,Acer saccharum,Wild,Tree,Perennial,mBW,USA,"North Woods, Saratoga County, New York, Eastern forest",43d1'N,73d5'W,Coordinates from the article,Cold,Cold without dry season and warm summer,Deciduous forest,NA,Natural,"2006, 2007, 2009",Fall,"August, September, October",Standing,Mature,Visual,>8 leaves sampled per plant,NA,Appendix (multiplied by 100),10.9,NA,NA,12,NA,NA,NA,NA
2484,Sapindales,Sapindaceae,Acer saccharum,Wild,Tree,Perennial,mCO,USA,"Hubbard Brook Experimental Forest, West Thornton, New Hampshire",43d56'40.2252''N,71d42'4.6188''W,From http://www.latlong.net/ (NOT in West Thornton),Cold,Cold without dry season and warm summer,Forest,NA,Natural,1995,Fall,September,Standing,Mature,Grid,30 leaves sampled per tree,NA,P.374 Figure 3 (only using control treatment),15.06923077,SE,0.2,21,NA,NA,NA,Lepidoptera (Insecta)
